"coc_number","coc_name","Organization","total_spending_coc"
"VA-501","Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC","hcv",14774531900
"LA-509","Louisiana Balance of State CoC","hcv",14493868600
"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","hcv",1.41e+10
"UT-500","Salt Lake City & County CoC","hcv",14033798315.0782
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","hcv",13996080800
"OK-502","Oklahoma City CoC","hcv",13764336617.2185
"MA-506","Worcester City & County CoC","hcv",1.36e+10
"NJ-507","New Brunswick/Middlesex County CoC","hcv",1.36e+10
"NJ-511","Paterson/Passaic County CoC","hcv",1.36e+10
"CA-606","Long Beach CoC","hcv",13564072443.9466
"CO-500","Colorado Balance of State CoC","hcv",13399068800
"MA-511","Quincy, Brockton, Weymouth, Plymouth City and County CoC","hcv",13397398249.4623
"HI-500","Hawaii Balance of State CoC","hcv",13237128200
"TN-501","Memphis/Shelby County CoC","hcv",1.32e+10
"MS-501","Mississippi Balance of State CoC","hcv",12901448500
"CA-507","Marin County CoC","hcv",1.27e+10
"SC-501","Greenville, Anderson, Spartanburg/Upstate CoC","hcv",12655449300
"GA-501","Georgia Balance of State CoC","hcv",12422345046.3965
"MA-504","Springfield/Hampden County CoC","hcv",1.23e+10
"WI-501","Milwaukee City & County CoC","hcv",1.22e+10
"NH-502","Nashua/Hillsborough County CoC","hcv",11935751750.8421
"MO-500","St. Louis County CoC","hcv",1.19e+10
"CA-518","Vallejo/Solano County CoC","hcv",1.18e+10
"NJ-508","Monmouth County CoC","hcv",1.17e+10
"MI-502","Dearborn, Dearborn Heights, Westland/Wayne County CoC","hcv",11653615962.4981
"AL-501","Mobile City & County/Baldwin County CoC","hcv",11633479700
"VA-505","Newport News, Hampton/Virginia Peninsula CoC","hcv",11621431400
"NE-501","Omaha, Council Bluffs CoC","hcv",11520278900
"PA-601","Western Pennsylvania CoC","hcv",11453399000
"WA-500","Seattle/King County CoC","coc",11405722386.3771
"NM-501","New Mexico Balance of State CoC","hcv",11228265641.5579
"AL-507","Alabama Balance of State CoC","hcv",11207632696.7278
"AK-500","Anchorage CoC","hcv",1.1e+10
"WV-508","West Virginia Balance of State CoC","hcv",10870512200
"CA-600","Los Angeles City & County CoC","home",10665055793.6116
"CA-511","Stockton/San Joaquin County CoC","hcv",1.06e+10
"MO-501","St. Louis City CoC","hcv",1.06e+10
"DE-500","Delaware Statewide CoC","hcv",10589671000
"NJ-503","Camden City & County/Gloucester, Cape May, Cumberland Counties CoC","hcv",10558970700
"SC-500","Charleston/Low Country CoC","hcv",10502392300
"IL-510","Chicago CoC","coc",10280764233.6064
"AZ-501","Tucson/Pima County CoC","hcv",1e+10
"MS-500","Jackson/Rankin, Madison Counties CoC","hcv",9993016600
"MN-501","St. Paul/Ramsey County CoC","hcv",9900352200
"IL-510","Chicago CoC","cdbg_entitlement",9865025832.69413
"ND-500","North Dakota Statewide CoC","hcv",9765366800
"CA-501","San Francisco CoC","coc",9702301900
"CA-510","Turlock, Modesto/Stanislaus County CoC","hcv",9690978500
"TX-700","Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC","cdbg_entitlement",9634374492.19784
"IL-511","Cook County CoC","coc",9446151416.0908
"NY-505","Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC","hcv",9422785400
"IL-502","Waukegan, North Chicago/Lake County CoC","hcv",9379032908.46431
"VT-500","Vermont Balance of State CoC","hcv",9307521600
"MI-506","Grand Rapids, Wyoming/Kent County CoC","hcv",9194850500
"WI-503","Madison/Dane County CoC","hcv",9104075500
"IL-511","Cook County CoC","cdbg_entitlement",9058994408.81728
"TX-607","Texas Balance of State CoC","cdbg_entitlement",8995442419.39227
"NY-600","New York City CoC","hud_hopwa",8984650200
"AR-500","Little Rock/Central Arkansas CoC","hcv",8912006200
"PA-500","Philadelphia CoC","cdbg_entitlement",8792519700
"PA-502","Upper Darby, Chester, Haverford/Delaware County CoC","hcv",8763966100
"TX-603","El Paso City & County CoC","hcv",8762527700
"OK-501","Tulsa City & County CoC","hcv",8749029415.97875
"TX-700","Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC","coc",8741793183.97883
"MA-519","Attleboro, Taunton/Bristol County CoC","hcv",8691641976.10964
"MT-500","Montana Statewide CoC","hcv",8685864300
"NC-507","Raleigh/Wake County CoC","hcv",8637089700
"WA-502","Spokane City & County CoC","hcv",8558193000
"ID-500","Boise/Ada County CoC","hcv",8328330100
"OK-503","Oklahoma Balance of State CoC","hcv",8278130610.43681
"NY-606","Rockland County CoC","hcv",8168398300
"VA-521","Virginia Balance of State CoC","hcv",8160581700
"MA-500","Boston CoC","coc",8140003941.62265
"CA-502","Oakland, Berkeley/Alameda County CoC","coc",8063006400
"NC-504","Greensboro, High Point CoC","hcv",7911751000
"AZ-500","Arizona Balance of State CoC","hcv",7890149126.90743
"IL-514","Dupage County CoC","hcv",7854801926.5177
"OH-506","Akron/Summit County CoC","hcv",7838286400
"NJ-515","Elizabeth/Union County CoC","hcv",7815537400
"NH-500","New Hampshire Balance of State CoC","hcv",7680688800
"AR-503","Arkansas Balance of State CoC","hcv",7631529729.05865
"OR-506","Hillsboro, Beaverton/Washington County CoC","hcv",7586163700
"SD-500","South Dakota Statewide CoC","hcv",7561653600
"AZ-502","Phoenix, Mesa/Maricopa County CoC","coc",7501846400
"FL-500","Sarasota, Bradenton/Manatee, Sarasota Counties CoC","hcv",7445738800
"GA-505","Columbus-Muscogee/Russell County CoC","hcv",7400660600
"CA-614","San Luis Obispo County CoC","hcv",7395410900
"MI-501","Detroit CoC","hcv",7346384037.50185
"FL-600","Miami-Dade County CoC","coc",7254832300
"NJ-510","Lakewood Township/Ocean County CoC","hcv",7234911500
"PA-500","Philadelphia CoC","coc",7197231500
"NM-500","Albuquerque CoC","hcv",7014727858.44213
"TN-500","Chattanooga/Southeast Tennessee CoC","hcv",6879191700
"MN-503","Dakota, Anoka, Washington, Scott, Carver Counties CoC","hcv",6821245225.65575
"MD-508","Charles, Calvert, St. Mary's Counties CoC","hcv",6715186700
"TN-502","Knoxville/Knox County CoC","hcv",6609772500
"AZ-502","Phoenix, Mesa/Maricopa County CoC","cdbg_entitlement",6583347948.73392
"MD-503","Annapolis/Anne Arundel County CoC","hcv",6525166500
"CA-604","Bakersfield/Kern County CoC","hcv",6510752300
"OH-502","Cleveland/Cuyahoga County CoC","coc",6502288300
"CA-513","Visalia/Kings, Tulare Counties CoC","hcv",6493536600
"PA-504","Lower Merion, Norristown, Abington/Montgomery County CoC","hcv",6399063500
"CA-500","San Jose/Santa Clara City & County CoC","coc",6317558000
"MA-507","Pittsfield/Berkshire, Franklin, Hampshire Counties CoC","hcv",6276230200
"OH-502","Cleveland/Cuyahoga County CoC","cdbg_entitlement",6268058300
"FL-504","Daytona Beach, Daytona/Volusia, Flagler Counties CoC","hcv",6246539300
"VA-604","Prince William County CoC","hcv",6245583200
"WA-508","Vancouver/Clark County CoC","hcv",6243639072.91987
"OH-505","Dayton, Kettering/Montgomery County CoC","hcv",6202467657.34526
"NC-500","Winston-Salem/Forsyth County CoC","hcv",6196997500
"CA-601","San Diego City and County CoC","coc",6193327000
"NV-501","Reno, Sparks/Washoe County CoC","hcv",6171057100
"CO-503","Metropolitan Denver CoC","coc",6095045800
"UT-503","Utah Balance of State CoC","hcv",6041555800
"IL-517","Aurora, Elgin/Kane County CoC","hcv",6030949316.71119
"FL-513","Palm Bay, Melbourne/Brevard County CoC","hcv",5976966100
"GA-506","Marietta/Cobb County CoC","hcv",5955427100
"IL-506","Joliet, Bolingbrook/Will County CoC","hcv",5940933365.41865
"GA-504","Augusta-Richmond County CoC","hcv",5937832800
"OR-500","Eugene, Springfield/Lane County CoC","hcv",5931706400
"CA-503","Sacramento City & County CoC","coc",5923232800
"TX-607","Texas Balance of State CoC","grrp_comp",5.92e+09
"KY-502","Lexington-Fayette County CoC","hcv",5895736100
"NC-501","Asheville/Buncombe County CoC","hcv",5802419300
"CA-602","Santa Ana, Anaheim/Orange County CoC","coc",5790455100
"PA-600","Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","cdbg_entitlement",5750733100
"TX-600","Dallas City & County, Irving CoC","cdbg_entitlement",5736338627.69878
"OH-501","Toledo/Lucas County CoC","hcv",5718633800
"OR-501","Portland, Gresham/Multnomah County CoC","coc",5712547300
"MI-502","Dearborn, Dearborn Heights, Westland/Wayne County CoC","cdbg_entitlement",5647361799.89963
"CA-612","Glendale CoC","hcv",5647309303.67485
"LA-502","Shreveport, Bossier/Northwest Louisiana CoC","hcv",5636126100
"GA-507","Savannah/Chatham County CoC","hcv",5596102500
"FL-603","Ft Myers, Cape Coral/Lee County CoC","hcv",5571319400
"VA-603","Alexandria CoC","hcv",5555642000
"NC-502","Durham City & County CoC","hcv",5532439800
"MD-501","Baltimore CoC","coc",5497396000
"VT-501","Burlington/Chittenden County CoC","hcv",5446994500
"CA-602","Santa Ana, Anaheim/Orange County CoC","cdbg_entitlement",5446838900
"IN-502","Indiana Balance of State CoC","cdbg_entitlement",5346793200
"MA-517","Somerville CoC","hcv",5335678198.02119
"KS-507","Kansas Balance of State CoC","hcv",5334195500
"CA-601","San Diego City and County CoC","cdbg_entitlement",5273634100
"SC-503","Myrtle Beach, Sumter City & County CoC","hcv",5236945000
"PA-511","Bristol, Bensalem/Bucks County CoC","hcv",5228521600
"AL-504","Montgomery City & County CoC","hcv",5196433500
"WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","hcv",5169356900
"IA-502","Des Moines/Polk County CoC","hcv",5035345000
"LA-500","Lafayette/Acadiana Regional CoC","hcv",4909967900
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","hcv",4855327500
"FL-600","Miami-Dade County CoC","cdbg_entitlement",4813131200
"CA-600","Los Angeles City & County CoC","elderly",4800186417.75476
"CO-504","Colorado Springs/El Paso County CoC","hcv",4771280500
"LA-503","New Orleans/Jefferson Parish CoC","coc",4758135400
"MA-508","Lowell CoC","hcv",4730955084.49168
"NJ-509","Morris County CoC","hcv",4724047700
"MA-509","Cambridge CoC","hcv",4682987158.79588
"OR-507","Clackamas County CoC","hcv",4671269600
"VA-600","Arlington County CoC","hcv",4641823100
"CA-600","Los Angeles City & County CoC","hud_hopwa",4625709322.87604
"CA-520","Merced City & County CoC","hcv",4570610400
"IL-510","Chicago CoC","elderly",4499940344.10427
"VA-503","Virginia Beach CoC","hcv",4493296600
"FL-508","Gainesville/Alachua, Putnam Counties CoC","hcv",4481188200
"NH-501","Manchester CoC","hcv",4464248249.15792
"NY-508","Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","cdbg_entitlement",4442524552.05129
"MN-502","Rochester/Southeast Minnesota CoC","hcv",4438267574.34425
"PA-501","Harrisburg/Dauphin County CoC","hcv",4404600000
"IL-503","Champaign, Urbana, Rantoul/Champaign County CoC","hcv",4400941600
"FL-506","Tallahassee/Leon County CoC","hcv",4332001600
"FL-511","Pensacola/Escambia, Santa Rosa Counties CoC","hcv",4321116000
"MI-502","Dearborn, Dearborn Heights, Westland/Wayne County CoC","coc",4287381075.65203
"TX-600","Dallas City & County, Irving CoC","coc",4286772353.04358
"MD-501","Baltimore CoC","cdbg_entitlement",4279639400
"KS-502","Wichita/Sedgwick County CoC","hcv",4216465600
"NY-604","Yonkers, Mount Vernon/Westchester County CoC","coc",4213486000
"LA-505","Monroe/Northeast Louisiana CoC","hcv",4171995100
"PA-505","Chester County CoC","hcv",4152422000
"NY-603","Nassau, Suffolk Counties CoC","cdbg_entitlement",4133422600
"IL-511","Cook County CoC","elderly",4128463121.41347
"CA-609","San Bernardino City & County CoC","cdbg_entitlement",4106440500
"AL-503","Huntsville/North Alabama CoC","hcv",4068609500
"FL-503","Lakeland, Winterhaven/Polk County CoC","hcv",4068198500
"MI-509","Washtenaw County CoC","hcv",4060791900
"WI-501","Milwaukee City & County CoC","cdbg_entitlement",3997752200
"TX-611","Amarillo CoC","hcv",3982691966.71562
"CA-608","Riverside City & County CoC","cdbg_entitlement",3961957300
"CA-607","Pasadena CoC","hcv",3920427496.64294
"TX-700","Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC","home",3915346799.75453
"TX-604","Waco/McLennan County CoC","hcv",3827870500
"VA-507","Portsmouth CoC","hcv",3827126600
"IL-501","Rockford/Winnebago, Boone Counties CoC","hcv",3778639900
"OR-502","Medford, Ashland/Jackson County CoC","hcv",3776498400
"NE-500","Nebraska Balance of State CoC","hcv",3759995509.43531
"CA-502","Oakland, Berkeley/Alameda County CoC","cdbg_entitlement",3756015900
"CA-501","San Francisco CoC","cdbg_entitlement",3704093800
"WA-500","Seattle/King County CoC","cdbg_entitlement",3678561458.20355
"UT-504","Provo/Mountainland CoC","hcv",3662311784.92175
"CO-503","Metropolitan Denver CoC","cdbg_entitlement",3640590081.39015
"MO-501","St. Louis City CoC","cdbg_entitlement",3618039000
"CA-521","Davis, Woodland/Yolo County CoC","hcv",3603955200
"CA-519","Chico, Paradise/Butte County CoC","hcv",3582221300
"MI-501","Detroit CoC","cdbg_entitlement",3560070000.10037
"FL-515","Panama City/Bay, Jackson Counties CoC","hcv",3514423400
"KS-505","Overland Park, Shawnee/Johnson County CoC","hcv",3464595000
"OH-507","Ohio Balance of State CoC","cdbg_entitlement",3452999648.6721
"NY-508","Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","coc",3436994739.17749
"WY-500","Wyoming Statewide CoC","hcv",3395439500
"NY-523","Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC","hcv",3393994300
"NV-500","Las Vegas/Clark County CoC","cdbg_entitlement",3380029400
"IL-508","East St. Louis, Belleville/St. Clair County CoC","hcv",3340501700
"CA-524","Yuba City & County/Sutter County CoC","hcv",3318808800
"IL-507","Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC","hcv",3310563900
"NY-512","Troy/Rensselaer County CoC","hcv",3239796200
"PA-510","Lancaster City & County CoC","hcv",3221881700
"NY-507","Schenectady City & County CoC","hcv",3219882700
"IL-512","Bloomington/Central Illinois CoC","hcv",3217988500
"NC-506","Wilmington/Brunswick, New Hanover, Pender Counties CoC","hcv",3216335800
"NE-502","Lincoln CoC","hcv",3213330290.56469
"LA-503","New Orleans/Jefferson Parish CoC","cdbg_entitlement",3203335300
"NY-518","Utica, Rome/Oneida, Madison Counties CoC","hcv",3193949997.83348
"AR-504","Delta Hills CoC","hcv",3193439200
"VA-502","Roanoke City & County, Salem CoC","hcv",3170027200
"IL-518","Rock Island, Moline/Northwestern Illinois CoC","hcv",3167313700
"NC-511","Fayetteville/Cumberland County CoC","hcv",3152228700
"MA-503","Cape Cod Islands CoC","hcv",3144524600
"OH-500","Cincinnati/Hamilton County CoC","coc",3130254500
"GA-501","Georgia Balance of State CoC","cdbg_entitlement",3126538849.3623
"NJ-504","Newark/Essex County CoC","cdbg_entitlement",3124302100
"MN-509","Duluth/St. Louis County CoC","hcv",3117054300
"TX-500","San Antonio/Bexar County CoC","cdbg_entitlement",3106662200
"PA-509","Eastern Pennsylvania CoC","coc",3100876200
"MA-500","Boston CoC","cdbg_entitlement",3100008783.09577
"LA-507","Alexandria/Central Louisiana CoC","hcv",3087886500
"CA-517","Napa City & County CoC","hcv",3078565800
"TX-601","Fort Worth, Arlington/Tarrant County CoC","coc",3069330609.11397
"CA-505","Richmond/Contra Costa County CoC","coc",3035476700
"PA-503","Wilkes-Barre, Hazleton/Luzerne County CoC","hcv",3026753200
"TX-701","Bryan, College Station/Brazos Valley CoC","hcv",3026359700
"IL-513","Springfield/Sangamon County CoC","hcv",3018368000
"LA-506","Slidell/Southeast Louisiana CoC","hcv",3004987000
"MI-500","Michigan Balance of State CoC","hcv",2995563031.08263
"TN-509","Appalachian Regional CoC","hcv",2994479500
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","cdbg_entitlement",2992404000
"MN-505","St. Cloud/Central Minnesota CoC","hcv",2978590700
"GA-508","DeKalb County CoC","coc",2974754881.93153
"IL-510","Chicago CoC","home",2971700835.87482
"MN-500","Minneapolis/Hennepin County CoC","cdbg_entitlement",2970335800
"MI-504","Pontiac, Royal Oak/Oakland County CoC","hcv",2963260000
"NJ-500","Atlantic City & County CoC","hcv",2951144300
"NY-600","New York City CoC","hud_esg",2946165000
"OH-500","Cincinnati/Hamilton County CoC","cdbg_entitlement",2944738277.67788
"IN-503","Indianapolis CoC","coc",2932978100
"PA-509","Eastern Pennsylvania CoC","cdbg_entitlement",2925883800
"MO-604","Kansas City (MO&KS), Independence, Lee’s Summit/Jackson, Wyandotte Counties CoC","coc",2908588663.62665
"GA-502","Fulton County CoC","hud_hopwa",2900658512.82419
"NJ-516","Warren, Sussex, Hunterdon Counties CoC","hcv",2876897000
"OH-503","Columbus/Franklin County CoC","coc",2869033078.32848
"OH-503","Columbus/Franklin County CoC","elderly",2862609250.96486
"FL-601","Ft Lauderdale/Broward County CoC","cdbg_entitlement",2829641800
"CA-512","Daly City/San Mateo County CoC","coc",2829309400
"TX-601","Fort Worth, Arlington/Tarrant County CoC","cdbg_entitlement",2816234610.28598
"PA-500","Philadelphia CoC","elderly",2808783200
"PA-600","Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","coc",2804377500
"MD-504","Howard County CoC","hcv",2786487700
"CA-500","San Jose/Santa Clara City & County CoC","cdbg_entitlement",2784318500
"MN-500","Minneapolis/Hennepin County CoC","coc",2744897500
"NC-509","Gastonia/Cleveland, Gaston, Lincoln Counties CoC","hcv",2738014100
"TX-500","San Antonio/Bexar County CoC","coc",2736106700
"IL-511","Cook County CoC","home",2729883812.04832
"TX-700","Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC","hud_hopwa",2716241210.02062
"NY-603","Nassau, Suffolk Counties CoC","coc",2713755800
"FL-519","Pasco County CoC","hcv",2710337900
"FL-506","Tallahassee/Leon County CoC","hud_hopwa",2707002500
"MI-501","Detroit CoC","coc",2702744624.34797
"AL-506","Tuscaloosa City & County CoC","hcv",2700887900
"HI-501","Honolulu City and County CoC","coc",2693821700
"TX-607","Texas Balance of State CoC","home",2685784203.84274
"MD-512","Hagerstown/Washington County CoC","hcv",2683059900
"AZ-502","Phoenix, Mesa/Maricopa County CoC","home",2681212919.33431
"FL-600","Miami-Dade County CoC","hud_hopwa",2678269100
"WI-501","Milwaukee City & County CoC","coc",2649154700
"PA-500","Philadelphia CoC","grrp_comp",2.648e+09
"PA-500","Philadelphia CoC","home",2637627600
"OR-503","Central Oregon CoC","hcv",2631280200
"MA-516","Massachusetts Balance of State CoC","coc",2623765134.10822
"MA-502","Lynn CoC","hcv",2620899654.51894
"NY-601","Poughkeepsie/Dutchess County CoC","hcv",2615056300
"CA-601","San Diego City and County CoC","home",2601771800
"ID-501","Idaho Balance of State CoC","hcv",2589834800
"KY-501","Louisville-Jefferson County CoC","coc",2585319900
"NV-500","Las Vegas/Clark County CoC","coc",2571136500
"CA-608","Riverside City & County CoC","coc",2535065200
"FL-601","Ft Lauderdale/Broward County CoC","coc",2520466200
"CA-503","Sacramento City & County CoC","cdbg_entitlement",2512060900
"MD-501","Baltimore CoC","hud_hopwa",2493101600
"AR-505","Southeast Arkansas CoC","hcv",2485326600
"NY-500","Rochester, Irondequoit, Greece/Monroe County CoC","coc",2483821600
"NC-516","Northwest North Carolina CoC","hcv",2473583100
"OH-504","Youngstown/Mahoning County CoC","hcv",2462737700
"MA-500","Boston CoC","elderly",2419681112.04594
"LA-508","Houma-Terrebonne, Thibodaux CoC","hcv",2419415800
"CA-613","Imperial County CoC","hcv",2419120800
"FL-600","Miami-Dade County CoC","home",2404226600
"FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","hcv",2403122300
"PA-601","Western Pennsylvania CoC","coc",2390452000
"PA-605","Erie City & County CoC","hcv",2383493200
"CA-515","Roseville, Rocklin/Placer, Nevada Counties CoC","hcv",2381112300
"CA-501","San Francisco CoC","hud_hopwa",2345959700
"CA-514","Fresno City & County/Madera County CoC","cdbg_entitlement",2327742800
"NY-604","Yonkers, Mount Vernon/Westchester County CoC","cdbg_entitlement",2313251800
"DC-500","District of Columbia CoC","hud_hopwa",2293207000
"TN-507","Jackson/West Tennessee CoC","hcv",2288014200
"NV-502","Nevada Balance of State CoC","hcv",2280065100
"NY-500","Rochester, Irondequoit, Greece/Monroe County CoC","cdbg_entitlement",2279309400
"MO-604","Kansas City (MO&KS), Independence, Lee’s Summit/Jackson, Wyandotte Counties CoC","cdbg_entitlement",2272828200
"PA-508","Scranton/Lackawanna County CoC","hcv",2270705300
"OH-505","Dayton, Kettering/Montgomery County CoC","coc",2262372100
"MN-508","Moorhead/West Central Minnesota CoC","hcv",2246651100
"NY-510","Ithaca/Tompkins County CoC","hcv",2246306600
"KY-501","Louisville-Jefferson County CoC","cdbg_entitlement",2230435300
"MA-505","New Bedford CoC","hcv",2225473445.93669
"FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","hcv",2214537700
"GA-500","Atlanta CoC","hud_hopwa",2191529219.27352
"NY-602","Newburgh, Middletown/Orange County CoC","hcv",2189047400
"MD-505","Baltimore County CoC","elderly",2161799500
